title,agency,deadline,amount
Maine Community Arts Initiative,Maine Arts Commission,2026-03-15,25000
Rural Broadband Expansion Grant,ConnectMaine Authority,2026-04-01,150000
Coastal Habitat Restoration Fund,Maine DEP,2026-02-28,75000
Substance Use Prevention Program,Maine DHHS,2026-05-31,50000
Small Farm Viability Program,Maine Dept of Agriculture,2026-03-01,30000
Historic Preservation Grant,Maine Historic Preservation Commission,2026-04-15,40000
Youth Mentorship Initiative,Maine Children's Trust,2026-06-30,20000
Workforce Development Program,Maine DECD,2026-07-01,100000
Library Services and Technology,Maine State Library,2026-05-15,18000
Food Insecurity Relief Fund,Maine CDC,2026-04-30,60000
Clean Energy Community Grant,Efficiency Maine,2026-08-01,45000
Tribal Cultural Preservation,Maine Indian Tribal-State Commission,2026-06-15,35000
Opioid Recovery Support Services,Maine SAMHSA,2026-03-31,80000
Affordable Housing Development,MaineHousing,2026-09-01,200000
Veteran Services Expansion,Maine Bureau of Veterans Services,2026-07-15,55000
